TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:32 AM,60.8,57.2,88,30.13,2,Calm,Calm,-,0.06,Rain,Light Rain,0,29-03-2014 04:32
12:51 AM,60.1,57.9,93,30.12,1,Calm,Calm,-,0.1,Rain,Rain,0,29-03-2014 04:51
1:04 AM,59,57.2,94,30.13,0.2,Calm,Calm,-,0.03,Rain,Rain,0,29-03-2014 05:04
1:31 AM,59,57.2,94,30.13,2,West,3.5,-,0.17,Rain,Light Rain,260,29-03-2014 05:31
1:51 AM,59,57,93,30.11,2,Calm,Calm,-,0.23,Rain,Light Rain,0,29-03-2014 05:51
1:56 AM,59,57.2,94,30.12,3,Calm,Calm,-,0.01,Rain,Light Rain,0,29-03-2014 05:56
2:19 AM,59,57.2,94,30.11,0.5,Calm,Calm,-,0.05,Rain,Light Rain,0,29-03-2014 06:19
2:40 AM,57.2,55.4,94,30.08,2,NE,3.5,-,0.06,Rain,Light Rain,50,29-03-2014 06:40
2:51 AM,57.9,55.9,93,30.09,2,Calm,Calm,-,0.06,Rain,Light Rain,0,29-03-2014 06:51
2:59 AM,57.2,55.4,94,30.09,4,Calm,Calm,-,0.01,Rain,Light Rain,0,29-03-2014 06:59
3:51 AM,57.9,55.9,93,30.06,4,East,3.5,-,0.02,Rain,Light Rain,80,29-03-2014 07:51
4:51 AM,57,55.9,96,30.02,3,Calm,Calm,-,0,,Overcast,0,29-03-2014 08:51
5:27 AM,57.2,55.4,94,30.03,0.5,Calm,Calm,-,N/A,,Overcast,0,29-03-2014 09:27
5:34 AM,57.2,55.4,94,30.04,4,Calm,Calm,-,N/A,,Overcast,0,29-03-2014 09:34
5:51 AM,57,55.9,96,30.03,4,Calm,Calm,-,0.01,Rain,Light Rain,0,29-03-2014 09:51
6:31 AM,57.2,55.4,94,30.04,5,Calm,Calm,-,0.01,Rain,Light Rain,0,29-03-2014 10:31
6:51 AM,57,55.9,96,30.03,4,Calm,Calm,-,0.02,Rain,Light Rain,0,29-03-2014 10:51
6:55 AM,57.2,55.4,94,30.03,2,Calm,Calm,-,0,Rain,Light Rain,0,29-03-2014 10:55
7:18 AM,57.2,55.4,94,30.03,1,Calm,Calm,-,0.02,Rain,Light Rain,0,29-03-2014 11:18
7:51 AM,57.9,55.9,93,30.02,1,ESE,3.5,-,0.05,Rain,Light Rain,110,29-03-2014 11:51
8:12 AM,57.2,55.4,94,30.02,1,SE,3.5,-,0,Rain,Light Rain,140,29-03-2014 12:12
8:51 AM,57.9,57,97,30.01,1,SE,3.5,-,0.02,,Overcast,140,29-03-2014 12:51
9:34 AM,59,57.2,94,29.99,1,Calm,Calm,-,0.01,Rain,Light Rain,0,29-03-2014 13:34
9:51 AM,59,57,93,30,1,ESE,3.5,-,0.02,,Overcast,110,29-03-2014 13:51
10:47 AM,60.8,57.2,88,29.96,2,SE,6.9,-,0.03,,Overcast,130,29-03-2014 14:47
10:51 AM,60.1,57.9,93,29.95,2,SE,8.1,-,0.03,,Overcast,130,29-03-2014 14:51
11:51 AM,62.1,59,90,29.92,2,South,8.1,-,N/A,,Overcast,170,29-03-2014 15:51
12:05 PM,62.6,59,88,29.91,7,South,8.1,-,N/A,,Overcast,180,29-03-2014 16:05
12:51 PM,63,60.1,90,29.86,10,SSE,9.2,-,0,,Overcast,160,29-03-2014 16:51
1:51 PM,64,60.1,87,29.81,1.5,SSE,8.1,-,0,Rain,Light Rain,150,29-03-2014 17:51
2:18 PM,64.4,60.8,88,29.79,10,SSE,9.2,-,0,,Overcast,160,29-03-2014 18:18
2:51 PM,64.9,61,87,29.74,10,SSE,9.2,18.4,0,,Overcast,150,29-03-2014 18:51
3:03 PM,64.4,60.8,88,29.74,2,SSE,10.4,19.6,N/A,,Overcast,160,29-03-2014 19:03
3:51 PM,64.9,62.1,90,29.72,2,South,9.2,-,N/A,,Overcast,180,29-03-2014 19:51
4:51 PM,64.9,62.1,90,29.69,10,SSW,9.2,-,0,,Overcast,210,29-03-2014 20:51
5:20 PM,64.4,60.8,88,29.71,10,SSW,9.2,-,N/A,,Overcast,210,29-03-2014 21:20
5:44 PM,66.2,62.6,88,29.69,10,South,8.1,-,N/A,,Overcast,190,29-03-2014 21:44
5:51 PM,64.9,62.1,90,29.68,10,South,6.9,-,N/A,,Overcast,180,29-03-2014 21:51
6:51 PM,64.9,61,87,29.66,10,South,9.2,-,N/A,,Overcast,170,29-03-2014 22:51
7:51 PM,64,62.1,93,29.65,6,South,5.8,-,0.02,Rain,Light Rain,170,29-03-2014 23:51
8:51 PM,64,62.1,93,29.62,8,SSE,8.1,-,0.01,,Overcast,160,30-03-2014 00:51
9:51 PM,64,60.1,87,29.59,10,South,3.5,-,0.01,,Overcast,170,30-03-2014 01:51
10:51 PM,61,59,93,29.58,10,SSW,6.9,-,N/A,,Overcast,210,30-03-2014 02:51
11:51 PM,63,60.1,90,29.56,10,SSW,6.9,-,N/A,,Overcast,210,30-03-2014 03:51
